2020-03-30	58	33	45.5	M	19	0	0.00	0.0	0
2020-03-31	67	31	49.0	M	16	0	0.00	0.0	0
2020-04-01	69	36	52.5	8.3	12	0	0.01	0.0	0
2020-04-02	37	16	26.5	-17.9	38	0	0.05	0.8	0
2020-04-03	43	15	29.0	-15.6	36	0	T	T	1
2020-04-04	59	24	41.5	-3.2	23	0	0.00	0.0	0
2020-04-05	70	34	52.0	7.1	13	0	0.00	0.0	0
2020-04-06	73	40	56.5	11.4	8	0	0.00	0.0	0
2020-04-07	73	41	57.0	11.7	8	0	0.00	0.0	0
2020-04-08	69	35	52.0	6.5	13	0	0.00	0.0	0
2020-04-09	58	31	44.5	-1.2	20	0	0.00	0.0	0
2020-04-10	73	37	55.0	9.1	10	0	0.00	0.0	0
2020-04-11	70	34	52.0	5.9	13	0	0.00	0.0	0
2020-04-12	34	19	26.5	-19.9	38	0	0.03	0.1	T
2020-04-13	25	15	20.0	-26.6	45	0	0.08	0.9	T
2020-04-14	46	11	28.5	-18.3	36	0	0.00	0.0	0
2020-04-15	54	22	38.0	-9.0	27	0	0.02	T	0
2020-04-16	32	19	25.5	-21.8	39	0	0.25	1.9	T
